date,site,time,start lat,start long,end lat,end long,number ticks,comments,field code
04-Jun-18,CADE,9:43,30.091415,-91.873034,29.759117,-93.123943,0, , 
24-Jul-18,CADE,9:18,30.09414,-91.86742,30.09454,-91.86664,0, , 
24-Jul-18,CADE,9:20,30.09966,-91.86678,30.09418,-91.86758,0, , 
24-Jul-18,CADE,9:23,30.09428,-91.8679,30.09475,-91.86726,0, , 
24-Jul-18,CADE,9:26,30.09487,-91.86763,30.09452,-91.86848,0, , 
24-Jul-18,CADE,9:30,30.09466,-91.86884,30.09527,-91.86796,0, , 
24-Jul-18,CADE,9:33,30.09535,-91.86813,30.09472,-91.86895,0, , 
24-Jul-18,CADE,9:36,30.09466,-91.86891,30.094311,-91.867965,0, , 
24-Jul-18,CADE,10:40,30.09258,-91.87048,30.09178,-91.87042,0, , 
24-Jul-18,CADE,10:43,30.09164,-91.87064,30.09254,-91.8709,0, , 
24-Jul-18,CADE,10:46,30.09254,-91.87114,30.09158,-91.87118,0, , 
24-Jul-18,CADE,10:49,30.09155,-91.87141,30.09246,-91.8716,0, , 
24-Jul-18,CADE,10:56,30.08946,-91.86926,30.08873,-91.86893,0, , 
24-Jul-18,CADE,11:00,30.08844,-91.86885,30.08816,-91.86875,0, , 
24-Jul-18,CADE,11:05,30.08742,-91.08742,30.08729,-91.869347,0, , 
24-Jul-18,CADE,11:08,30.0874,-91.86936,30.08821,-91.86957,0, , 
24-Jul-18,CADE,11:11,30.08837,-91.86954,30.08846,-91.86923,0, , 
8. Jun. 2018,CADE,8:15,30.09254,-91.87067,30.09163,-91.87063,0,grass very wet, 
23-May-18,CAM,18:09,29.944842,-93.079853,29.944785,-93.078769,0, , 
23-May-18,CAM,18:15,29.94475,-93.078646,29.944795,-93.079583,0, , 
23-May-18,CAM,17:50,29.944922,-93.080084,29.944937,-93.081117,0, , 
23-May-18,CAM,17:58,29.944898,-93.080067,29.945004,-93.081075,0, , 
28-Jun-18,CAM,11:20,29.944814,-93.080124,29.94493,-93.080798,0,rainy, 
28-Jun-18,CAM,11:32,29.94483,-93.07983,29.94472,-93.07855,0, , 
28-Jun-18,CAM,11:35,29.94481,-93.07855,29.94477,-93.07745,0, , 
28-Jun-18,CAM,11:38,29.94478,-93.07723,29.94468,-93.0755,0, , 
28-Jun-18,CAM,11:59,29.95167,-93.07029,29.95151,-93.06932,0, , 
28-Jun-18,CAM,12:02,29.95154,-93.06907,29.95155,-93.06809,0, , 
28-Jun-18,CAM,12:06,29.95149,-93.06823,29.95149,-93.06923,0, , 
28-Jun-18,CAM,12:22,29.98402,-93.089,29.98465,-93.08902,0, , 
28-Jun-18,CAM,12:25,29.98482,-93.0889,29.98566,-93.08898,0, , 
28-Jun-18,CAM,12:28,29.98583,-93.08901,29.98649,-93.08898,0, , 
6-Jun-18,CAM,8:30,29.94484,-93.08004,29.94493,-93.08089,0, , 
6-Jun-18,CAM,8:45,29.944889,-93.080023,29.945,-93.08105,0, , 
6-Jun-18,CAM,9:10,29.94499,-93.08105,29.94508,-93.08211,0, , 
6-Jun-18,CAM,9:12,29.94502,-93.08218,29.94516,-93.08324,0, , 
6-Jun-18,CAM,9:15,29.94516,-93.08324,29.94563,-93.08412,0, , 
6-Jun-18,CAM,9:20,29.94527,-93.08368,29.94509,-93.08256,0, , 
6-Jun-18,CAM,9:45,29.95158,-93.06985,29.95158,-93.06921,0, , 
6-Jun-18,CAM,9:48,29.95157,-93.06916,29.95157,-93.06815,0, , 
6-Jun-18,CAM,9:53,29.95155,-93.06859,29.95153,-93.06965,0, , 
6-Jun-18,CAM,9:56,29.95153,-93.06965,29.95152,-93.0705,0, , 
04-Aug-18,HOLLY,11:33,29.766064,-93.382361,29.766044,-93.381343,0, , 
04-Aug-18,HOLLY,11:41,29.766011,-93.380187,29.765882,-93.379637,0, , 
04-Aug-18,HOLLY,11:46,29.765992,-93.378889,29.765958,-93.377872,0, , 
04-Aug-18,HOLLY,11:54,29.766261,-93.377515,29.766189,-93.376848,0, , 
04-Aug-18,HOLLY,11:58,29.765685,-93.376506,29.765627,-93.376153,1, ,BBB2018060109
04-Aug-18,HOLLY,12:02,29.765445,-93.375849,29.765396,-93.374845,0, , 
04-Aug-18,HOLLY,12:07,29.765311,-93.373802,29.765285,-93.372755,1, ,BBB2018060109
07-Jul-18,HOLLY,7:43,29.76761,-93.40397,29.76766,-93.40503,0, , 
07-Jul-18,HOLLY,8:12,29.76824,-93.41571,29.76828,-93.41671,0, , 
07-Jul-18,HOLLY,8:23,29.76846,-93.42124,29.7685,-93.42221,0, , 
07-Jul-18,HOLLY,8:28,29.76915,-93.43813,29.76914,-93.43894,0, , 
07-Jul-18,HOLLY,9:32,29.769209,-93.439593,29.769232,-93.440146,0, , 
07-Jul-18,HOLLY,9:35,29.769214,-93.44041,29.769237,-93.441042,0, , 
07-Jul-18,HOLLY,9:40,29.768987,-93.443486,29.76907,-93.444231,0, , 
07-Jul-18,HOLLY,9:43,29.769209,-93.445694,29.769352,-93.446561,0, , 
20-Jun-18,HOLLY,15:13,29.76753,-93.39588,29.7675,-93.39505,0, , 
20-Jun-18,HOLLY,15:16,29.76759,-93.39307,29.76765,-93.39601,0, , 
20-Jun-18,HOLLY,15:26,29.76819,-93.40588,29.76814,-93.4054,0, , 
20-Jun-18,HOLLY,15:31,29.76815,-93.40702,29.7687,-93.4681,0, , 
20-Jun-18,HOLLY,15:40,29.76727,-93.39083,29.76731,-93.3917,0, , 
20-Jun-18,HOLLY,15:47,29.767268,-93.390127,29.76722,-93.38924,0, , 
04-Aug-18,LEBL,9:19,29.783436,-93.226537,29.783492,-93.226465,0, , 
04-Aug-18,LEBL,9:28,29.783549,-93.226407,29.784048,-93.226449,0, , 
22-Jun-18,LEBL,15:26,29.77764,-93.2282,29.77757,-93.2274,0, , 
22-Jun-18,LEBL,15:30,29.77754,-93.22691,29.77742,-93.22544,0, , 
22-Jun-18,LEBL,15:35,29.7774,-93.22524,29.77733,-93.22426,0, , 
22-Jun-18,LEBL,15:40,29.77729,-93.224,29.77721,-93.22295,0, , 
22-Jun-18,LEBL,15:44,29.77718,-93.22263,29.7771,-93.22162,0, , 
22-Jun-18,LEBL,15:47,29.77708,-93.22144,29.77703,-93.22066,0, , 
6-Jun-18,LEBL,11:35,29.77766,-93.22833,29.77759,-93.22749,0, , 
6-Jun-18,LEBL,11:38,29.77759,-93.22744,29.77752,-93.22659,0, , 
6-Jun-18,LEBL,11:42,29.77752,-93.22659,29.77747,-93.22578,0, , 
26-Jul-18,PISP,18:19,29.864521,-92.149463,29.86484,-92.148831,0, , 
26-Jul-18,PISP,18:14,29.866138,-92.145956,29.866117,-92.145577,0, , 
26-Jul-18,PISP,18:05,29.865492,-92.142756,29.86576,-92.141876,0, , 
26-Jul-18,PISP,18:10,29.86583,-92.141871,29.86561,-92.142745,0, , 
2. Jul. 2018,ROCK,19:52,29.731797,-92.830931,29.73108,-92.830965,0, , 
2. Jul. 2018,ROCK,19:55,29.731093,-92.830943,29.731839,-92.830928,0, , 
2. Jul. 2018,ROCK,19:59,29.731977,-92.831442,29.731075,-92.831442,0, , 
2. Jul. 2018,ROCK,20:02,29.730976,-92.83151,29.731853,-92.831513,0, , 
2. Jul. 2018,ROCK,20:58,29.729059,-92.82461,29.728459,-92.824712,0, , 
2. Jul. 2018,ROCK,21:01,29.728469,-92.824784,29.729072,-92.824637,0, , 
05-Jul-18,ROCK,12:20,29.66959,-92.84941,29.66927,-92.8487,0, , 
05-Jul-18,ROCK,12:22,29.6693,-92.8487,29.66964,-92.84943,0, , 
20-May-18,ROCK,7:51,29.73179,-93.831,29.73083,-93.83097,0, , 
20-May-18,ROCK,7:56,29.73077,-93.83096,29.72985,-93.83097,0, , 
28-Jul-18,ROCK,09:55,29.72933,-92.8246,29.7285,-92.82487,0, , 
28-Jul-18,ROCK,09:59,29.72849,-92.82841,29.72946,-92.82453,0, , 
30-Jul-18,ROCK,13:23,29.73187,-92.8308,29.73174,-92.83006,0, , 
30-Jun-18,ROCK,19:52,29.731797,-92.830931,29.73108,-92.830965,0, , 
30-Jun-18,ROCK,19:55,29.731093,-92.830943,29.731839,-92.830928,0, , 
30-Jun-18,ROCK,19:59,29.731977,-92.831442,29.731075,-92.831442,0, , 
30-Jun-18,ROCK,20:02,29.730976,-92.83151,29.731853,-92.831513,0, , 
30-May-18,ROCK,12:42,29.669572,-92.84939,29.669186,-92.848527,0, , 
30-May-18,ROCK,12:45,29.669198,-92.848489,29.668697,-92.847638,0, , 
30-May-18,ROCK,12:48,29.668707,-92.847626,29.669196,-92.848471,0, , 
30-May-18,ROCK,12:50,29.669214,-92.848505,29.66964,-92.849403,0, , 
30-May-18,ROCK,7:34,29.762346,-93.139396,29.762585,-93.140205,0, , 
30-May-18,ROCK,8:16,29.762835,-93.141006,29.763334,-93.14454,0, , 
30-May-18,ROCK,8:32,29.766249,-93.157246,29.766447,-93.158343,0, , 
19. May. 2018,ROCK,7:51,29.73129,-92.831,29.73083,-92.83097,0, , 
19. May. 2018,ROCK,7:56,29.73077,-92.83096,29.72985,-92.83097,0, , 
19. May. 2018,ROCK,8:20,30.04166,-91.87067,30.04255,-91.87076,0,grass very wet, 
19. May. 2018,ROCK,8:30,30.08745,-91.86866,30.0883,-91.86892,0, , 
19. May. 2018,ROCK,8:41,30.0876,-91.8663,30.08747,-91.86596,0, , 
19. May. 2018,ROCK,9:20,30.08661,-91.8683,30.08598,-91.86782,0, , 
19. May. 2018,ROCK,9:29,30.09364,-91.87009,30.09392,-91.87093,0, , 
02-Jun-18,RUTH,15:08,29.75971,-93.12444,29.7597,-93.12548,0, , 
02-Jun-18,RUTH,15:12,29.75971,-93.12549,29.759702,-93.125488,0, , 
07-Jul-18,RUTH,10:52,29.76172,-93.13462,29.76191,-93.13457,0, , 
07-Jul-18,RUTH,10:54,29.76191,-93.13499,29.76214,-93.13565,0, , 
07-Jul-18,RUTH,10:57,29.76185,-93.13552,29.76162,-93.13498,0, , 
07-Jul-18,RUTH,11:02,29.7628,-93.13881,29.76297,-93.13958,0, , 
07-Jul-18,RUTH,11:05,29.76322,-93.13959,29.76311,-93.13882,0,marshy area, 
07-Jul-18,RUTH,11:26,29.76545,-93.1511,29.76565,-93.15183,0,rain, 
07-Jul-18,RUTH,11:29,29.76563,-93.15183,29.76544,-93.15108,0,rain, 
07-Jul-18,RUTH,11:32,29.76586,-93.15162,29.766,-93.15225,0,rain, 
19-Jun-18,RUTH,12:20,29.76459,-93.146,29.76487,-93.14627,0,ground totally saturated, 
23-Jun-18,RUTH,10:49,29.76446,-93.14582,29.76278,-93.14505,0, , 
23-Jun-18,RUTH,10:53,29.76414,-93.14531,29.76423,-93.146,0, , 
23-Jun-18,RUTH,10:58,29.76414,-93.1464,29.7643,-93.14716,0, , 
23-May-18,RUTH,12:58,29.76129,-93.12408,29.76222,-93.12408,0, , 
23-May-18,RUTH,13:02,29.76224,-93.12407,29.76312,-93.12406,0, , 
23-May-18,RUTH,13:05,29.76297,-93.12419,29.76204,-93.12425,0, , 
23-May-18,RUTH,12:58,29.76128,-93.12408,29.76222,-93.12408,0, , 
23-May-18,RUTH,13:02,29.76224,-93.12407,29.76317,-93.12406,0, , 
23-May-18,RUTH,13:05,29.76297,-93.12419,29.76204,-93.12425,0, , 
25-Jul-18,RUTH,9:22,29.77018,-93.17507,29.77115,-91.17583,0, , 
25-Jul-18,RUTH,9:33,29.7702,-93.16743,29.77032,-93.16814,0, , 
25-Jul-18,RUTH,9:36,29.77022,-93.16824,29.77002,-93.16778,0, , 
25-Jul-18,RUTH,9:39,29.76985,-93.16769,29.77013,-93.1687,0, , 
25-Jul-18,RUTH,9:44,29.76996,-93.16872,29.76979,-93.16777,0, , 
25-Jul-18,RUTH,10:15,29.76786,-93.16302,29.76851,-93.16267,0, , 
25-Jul-18,RUTH,11:00,29.7686,-93.16296,29.76787,-93.16315,0, , 
28-Jun-18,RUTH,10:34,29.760222,-93.124459,29.760788,-93.124214,0, , 
28-Jun-18,RUTH,10:40,29.760037,-93.123901,29.760059,-93.123025,0, , 
28-Jun-18,RUTH,10:42,29.759971,-93.123014,29.759964,-93.123676,0, , 
30-Jul-18,RUTH,9:27,29.768864,-93.168101,29.768951,-93.168979,0, , 
30-Jul-18,RUTH,9:20,29.768753,-93.165633,29.769021,-93.166693,0, , 
30-Jul-18,RUTH,9:17,29.768458,-93.164056,29.768353,-93.165191,0, , 
30-Jul-18,RUTH,9:11,29.76832,-93.163111,29.768458,-93.164056,0, , 
30-Jul-18,RUTH,8:48,29.765374,-93.149182,29.765443,-93.149928,0, , 
30-Jul-18,RUTH,8:20,29.764749,-93.147775,29.765143,-93.14712,0, , 
30-Jul-18,RUTH,8:25,29.765168,-93.147596,29.765216,-93.148595,0, , 
9. Jun. 2018,RUTH,16:57,29.75925,-93.12341,29.75914,-93.12306,0, , 
9. Jun. 2018,RUTH,17:45,29.75752,-93.11745,29.75735,-93.11684,0, , 
9. Jun. 2018,RUTH,16:12,29.75628,-93.11296,29.75603,-93.11195,0, , 
9. Jun. 2018,CADE,8:33,30.087451,-91.86866,30.088298,-91.868921,0, , 
9. Jun. 2018,CADE,8:43,30.087603,-91.866299,30.08747,-91.865959,0, , 
9. Jun. 2018,CADE,9:22,30.08661,-91.868299,30.085982,-91.867828,0, , 
9. Jun. 2018,CADE,9:31,30.093637,-91.870096,30.09392,-91.870929,0, , 
9. Jun. 2018,CADE,9:34,30.093927,-91.870975,30.093721,-91.871885,0, , 
9. Jun. 2018,CADE,9:38,30.093638,-91.8718,30.093702,-91.872832,0, , 
9. Jun. 2018,CADE,9:41,30.093725,-91.872867,30.094618,-91.872786,0, , 
9. Jun. 2018,CADE,9:45,30.09476,-91.872904,30.094429,-91.87198,0, , 
9. Jun. 2018,CADE,9:48,30.094414,-91.871908,30.094015,-91.870929,0, , 
14. Aug. 2018,CADE,9:46,30.093767,-91.870023,30.094151,-91.870958,0, , 
14. Aug. 2018,CADE,9:51,30.094301,-91.871345,30.094747,-91.87225,0, , 
14. Aug. 2018,CADE,9:55,30.094889,-91.872607,30.095299,-91.873468,0, , 
14. Aug. 2018,CADE,9:59,30.09514,-91.873516,30.094458,-91.87403,0, , 
14. Aug. 2018,CADE,10:04,30.094089,-91.873857,30.094613,-91.87316,1, ,BBB2018060113
14. Aug. 2018,CADE,10:11,30.09486,-91.872978,30.094391,-91.871938,0, , 
14. Aug. 2018,CADE,10:15,30.094159,-91.87138,30.09377,-91.870655,0, , 
14. Aug. 2018,CADE,10:31,30.09435,-91.86638,30.09464,-91.86767,0, , 
14. Aug. 2018,CADE,10:34,30.09478,-91.86812,30.09539,-91.86875,0, , 
29. May. 2018,ROCK,15:42,29.728911,-92.816936,29.728214,-92.817565,0, , 
29. May. 2018,ROCK,15:45,29.728039,-92.817637,29.727451,-92.81776,0, , 
29. May. 2018,ROCK,15:47,29.727073,-92.817857,29.727981,-92.817673,0, , 
12. Aug. 2018,ROCK,18:33,29.727951,-92.825199,29.728138,-92.826193,0, , 
12. Aug. 2018,ROCK,18:36,29.728161,-92.826329,29.728328,-92.827313,0, , 
12. Aug. 2018,ROCK,18:40,29.728235,-92.82726,29.728097,-92.826464,0, , 
12. Aug. 2018,ROCK,19:01,29.73188,-92.83144,29.73098,-92.83145,0, , 
12. Aug. 2018,ROCK,19:04,29.73083,-92.83143,29.7302,-92.83143,0, , 
12. Aug. 2018,ROCK,19:08,29.7302,-92.83143,29.72946,-92.83146,0, , 
12. Aug. 2018,ROCK,19:30,29.72542,-92.83142,29.72448,-92.83145,0, , 
12. Aug. 2018,ROCK,19:32,29.7244,-92.83145,29.72351,-92.83144,0, , 
12. Aug. 2018,ROCK,19:37,29.72354,-92.83154,29.72445,-92.83154,0, , 
12. Aug. 2018,ROCK,19:40,29.72451,-92.83155,29.72544,-92.83155,0, , 
12. Aug. 2018,ROCK,19:11,29.72944,-92.83154,29.73033,-92.83153,0, , 
12. Aug. 2018,ROCK,19:14,29.73082,-92.83154,29.73174,-92.83155,0, , 
12. Aug. 2018,ROCK,18:46,29.73979,-92.82447,29.73117,-92.82592,0, , 
12. Aug. 2018,ROCK,18:49,29.73083,-92.82601,29.73041,-92.82443,0, , 
12. Aug. 2018,ROCK,18:52,29.73067,-92.82408,29.73036,-92.82301,0, , 
12. Aug. 2018,ROCK,18:55,29.7303,-92.82286,29.73017,-92.82212,0, , 
30. Jul. 2018,ROCK,13:26,29.731868,-92.8308,29.731737,-92.830064,0, , 
19. Jun. 2018,RUTH,13:22,29.669622,-92.84943,29.669233,-92.848635,0, , 
19. Jun. 2018,RUTH,13:25,29.669258,-92.848639,29.669651,-92.84943,0, , 
16. Jun. 2018,RUTH,17:09,29.768952,-93.127413,29.769071,-93.128338,0, , 
23. May. 2018,RUTH,18:01,29.76224,-93.124069,29.76294,-93.12409,0, , 
23. May. 2018,RUTH,18:03,29.762973,-93.124191,29.76229,-93.1242,0, , 
23. May. 2018,RUTH,18:08,29.76146,-93.12402,29.7621,-93.1241,0, , 
